headingMag,PitchGPS,B1,Z3,M3,GPSTrueCourse,BaroPressureAltitude,W3,W1,needsInitialization,PitchGyr,H1,GPSNACp,C2,gLoad,EGPS2,EGPS3,Roll,E3,Pitch,staticMode,WValid,HeadingGPS,W1a,EGyr1,Z1,GPSHorizontalAccuracy,D1,TWa,W2,SmoothGroundSpeed,A2,T,H2,GPSVerticalAccuracy,A3,B2,SmoothW2,EGyr0,E0,A1,GPSFixQuality,headingValid,Ta,E1,slipSkid,C3,M2,Heading,SmoothW1,H3,GPSAltitudeMSL,C1,M1,W2a,EGyr3,HeadingGyr,EGPS0,B3,Z2,TW,E2,EGyr2,turnRate,RollGyr,RollGPS,W3a,GroundSpeed,D3,EGPS1,D2,BaroVerticalSpeed
3.141593,8.838788,-0.793481,-0.896336,0.000000,0.000000,441.479553,-0.024264,0.000000,0.000000,-1.432402,5.609015,10.000000,-0.306966,0.895949,0.056163,0.704873,10.483573,0.678668,-1.229256,1.000000,1.000000,0.000002,0.000000,0.057314,-0.146388,7.400000,5.721267,-6795364572.201345,0.259000,0.054048,0.046999,-6795364572.061345,4.610196,16.000000,-1.120212,0.629444,0.054048,0.729398,0.728663,0.009461,1.000000,0.000000,-6795364572.111345,0.059500,-0.313086,-1.117113,0.000000,3.956368,0.000000,-5.851113,388.451447,0.199615,0.000000,0.265000,0.678038,4.050397,0.687872,0.385296,-0.290601,-6795364572.101345,0.070138,0.070414,-0.035548,10.320332,17.950017,-0.024264,0.259000,-3.046129,0.163803,-5.085964,-2.457184
3.141593,8.808704,-0.811284,-0.896094,0.000000,0.000000,441.537872,-0.017011,0.000000,0.000000,-1.509377,5.618776,10.000000,-0.306966,0.895953,0.056542,0.704843,10.913840,0.677405,-1.305416,1.000000,1.000000,0.000004,0.000000,0.059743,-0.145787,7.400000,5.721267,-6795364572.101345,0.259000,0.054048,0.047446,-6795364572.011345,4.604597,16.000000,-1.119663,0.623086,0.054048,0.730100,0.729350,0.010254,1.000000,0.000000,-6795364572.061345,0.061878,-0.313209,-1.117113,0.000000,4.104654,0.000000,-5.841741,388.451447,0.199615,0.000000,0.259000,0.676753,4.201085,0.687870,0.361136,-0.291073,-6795364572.101345,0.073089,0.073417,-0.035548,10.758664,17.981536,-0.024264,0.259000,-3.046129,0.163812,-5.085964,-1.722716
3.141593,8.830772,-0.816370,-0.895596,0.000000,0.000000,441.537872,-0.017011,0.000000,0.000000,-1.588002,5.623950,10.000000,-0.306966,0.895896,0.056283,0.704863,11.335197,0.676161,-1.382073,1.000000,1.000000,0.000003,0.000000,0.062116,-0.146419,7.400000,5.721267,-6795364572.101345,0.622000,0.065407,0.045900,-6795364571.961345,4.616565,16.000000,-1.118748,0.644704,0.065407,0.730773,0.730007,0.008789,1.000000,0.000000,-6795364572.011345,0.064201,-0.313190,-1.117113,0.000000,4.248681,0.000000,-5.846869,388.123383,0.199615,0.000000,0.259000,0.675484,4.347406,0.687868,0.366222,-0.290182,-6795364572.001345,0.075986,0.076378,-0.031994,11.188909,17.961462,-0.017011,0.622000,-3.046129,0.163824,-5.085964,-1.722716
3.141593,8.830382,-0.851975,-0.895549,0.000000,0.000000,441.557312,-0.014419,0.000000,0.000000,-1.665912,5.650453,10.000000,-0.306966,0.895860,0.056452,0.704850,11.749812,0.674935,-1.458468,1.000000,1.000000,0.000001,0.000000,0.064448,-0.146282,7.400000,5.721267,-6795364572.001345,0.622000,0.065407,0.047609,-6795364571.911345,4.605092,16.000000,-1.119297,0.623086,0.065407,0.731416,0.730635,0.009359,1.000000,0.000000,-6795364571.961345,0.066486,-0.313322,-1.117113,0.000000,4.388647,0.000000,-5.850379,388.123383,0.199615,0.000000,0.622000,0.674234,4.489640,0.687829,0.368765,-0.290983,-6795364572.001345,0.078836,0.079283,-0.031994,11.611312,17.988500,-0.017011,0.622000,-3.046129,0.163984,-5.085964,-1.460175
3.141593,8.833731,-0.820185,-0.896445,0.000000,0.000000,441.557312,-0.014419,0.000000,0.000000,-1.743443,5.639352,10.000000,-0.306966,0.895956,0.056335,0.704859,12.155143,0.673734,-1.534367,1.000000,1.000000,0.000000,0.000000,0.066729,-0.146483,7.400000,5.721267,-6795364572.001345,0.394000,0.071979,0.046327,-6795364571.861345,4.597077,16.000000,-1.120579,0.610370,0.071979,0.732025,0.731231,0.009217,1.000000,0.000000,-6795364571.911345,0.068718,-0.313322,-1.117113,0.000000,4.523590,0.000000,-5.830950,388.451447,0.199615,0.000000,0.622000,0.673009,4.626682,0.687847,0.347148,-0.290690,-6795364571.901345,0.081624,0.082130,-0.028794,12.025125,17.972947,-0.014419,0.394000,-3.046129,0.163911,-5.085964,-1.460175
3.141593,8.863948,-0.839259,-0.896068,0.000000,0.000000,441.557312,-0.014136,0.000000,0.000000,-1.821774,5.649399,10.000000,-0.306966,0.895951,0.056039,0.704883,12.552405,0.672554,-1.610466,1.000000,1.000000,0.000002,0.000000,0.068957,-0.147109,7.400000,5.721267,-6795364571.901345,0.394000,0.071979,0.045981,-6795364571.811345,4.613489,16.000000,-1.119541,0.635802,0.071979,0.732604,0.731797,0.008098,1.000000,0.000000,-6795364571.861345,0.070900,-0.313300,-1.117113,0.000000,4.654080,0.000000,-5.826116,388.451447,0.199615,0.000000,0.394000,0.671806,4.759204,0.687829,0.338247,-0.290239,-6795364571.901345,0.084363,0.084931,-0.028794,12.430714,17.955000,-0.014419,0.394000,-3.046129,0.163984,-5.085964,-1.431544
3.141593,8.855192,-0.820185,-0.895066,0.000000,0.000000,441.557312,-0.014136,0.000000,0.000000,-1.899613,5.639626,10.000000,-0.306966,0.895820,0.055997,0.704886,12.940788,0.671396,-1.686848,1.000000,1.000000,0.000000,0.000000,0.071131,-0.146504,7.400000,5.721267,-6795364571.901345,0.308000,0.076699,0.045717,-6795364571.761345,4.617168,16.000000,-1.117710,0.633259,0.076699,0.733155,0.732337,0.009156,1.000000,0.000000,-6795364571.811345,0.073027,-0.313257,-1.117113,0.000000,4.780336,0.000000,-5.820243,388.779541,0.199615,0.000000,0.394000,0.670625,4.887379,0.687864,0.335704,-0.289663,-6795364571.801345,0.087048,0.087671,-0.025915,12.827242,17.939413,-0.014136,0.308000,-3.046129,0.163838,-5.085964,-1.431544
3.141593,8.847933,-0.816370,-0.895489,0.000000,0.000000,441.625366,-0.005953,0.000000,0.000000,-1.978427,5.628890,10.000000,-0.306966,0.895805,0.056065,0.704881,13.320783,0.670249,-1.764138,1.000000,1.000000,0.000000,0.000000,0.073247,-0.146472,7.400000,5.721267,-6795364571.801345,0.308000,0.076699,0.046225,-6795364571.711345,4.628362,16.000000,-1.119134,0.658691,0.076699,0.733689,0.732860,0.009115,1.000000,0.000000,-6795364571.761345,0.075097,-0.313260,-1.117113,0.000000,4.903959,0.000000,-5.848051,388.779541,0.199615,0.000000,0.308000,0.669456,5.012909,0.687869,0.373852,-0.290007,-6795364571.801345,0.089685,0.090361,-0.025915,13.214795,17.943142,-0.014136,0.308000,-3.046129,0.163817,-5.085964,-0.602804
3.141593,8.863852,-0.804926,-0.896154,0.000000,0.000000,441.625366,-0.005953,0.000000,0.000000,-2.056384,5.622751,10.000000,-0.306966,0.895868,0.055750,0.704906,13.692082,0.669129,-1.840067,1.000000,1.000000,0.000002,0.000000,0.075317,-0.146973,7.400000,5.721267,-6795364571.801345,0.424000,0.083645,0.044679,-6795364571.661345,4.615773,16.000000,-1.119785,0.625629,0.083645,0.734192,0.733353,0.008423,1.000000,0.000000,-6795364571.711345,0.077121,-0.313124,-1.117113,0.000000,5.022972,0.000000,-5.826152,388.451447,0.199615,0.000000,0.308000,0.668312,5.133684,0.687897,0.339518,-0.289325,-6795364571.701345,0.092260,0.092995,-0.023323,13.594263,17.907899,-0.005953,0.424000,-3.046129,0.163701,-5.085964,-0.602804
3.141593,8.872827,-0.836716,-0.895999,0.000000,0.000000,441.625366,-0.005836,0.000000,0.000000,-2.133184,5.639515,10.000000,-0.306966,0.895875,0.055955,0.704889,14.057506,0.668021,-1.915026,1.000000,1.000000,359.999999,0.000000,0.077347,-0.147111,7.400000,5.721267,-6795364571.701345,0.424000,0.083645,0.047202,-6795364571.611345,4.599233,16.000000,-1.119867,0.615457,0.083645,0.734678,0.733828,0.008342,1.000000,0.000000,-6795364571.661345,0.079116,-0.313229,-1.117113,0.000000,5.139242,0.000000,-5.842648,388.451447,0.199615,0.000000,0.424000,0.667181,5.251801,0.687823,0.371309,-0.290582,-6795364571.701345,0.094791,0.095574,-0.023323,13.966120,17.950276,-0.005953,0.424000,-3.046129,0.164009,-5.085964,-0.590984
