2023-07-30 10:02:38 status half-configured libarchive13:arm64 3.4.3-2+deb11u1
2023-07-30 10:02:38 status installed libarchive13:arm64 3.4.3-2+deb11u1
2023-07-30 10:02:38 configure libip6tc2:arm64 1.8.7-1 <none>
2023-07-30 10:02:38 status unpacked libip6tc2:arm64 1.8.7-1
2023-07-30 10:02:38 status half-configured libip6tc2:arm64 1.8.7-1
2023-07-30 10:02:38 status installed libip6tc2:arm64 1.8.7-1
2023-07-30 10:02:38 configure libi2c0:arm64 4.2-1+b1 <none>
2023-07-30 10:02:38 status unpacked libi2c0:arm64 4.2-1+b1
2023-07-30 10:02:38 status half-configured libi2c0:arm64 4.2-1+b1
2023-07-30 10:02:38 status installed libi2c0:arm64 4.2-1+b1
2023-07-30 10:02:38 configure read-edid:arm64 3.0.2-1.1 <none>
2023-07-30 10:02:38 status unpacked read-edid:arm64 3.0.2-1.1
2023-07-30 10:02:38 status half-configured read-edid:arm64 3.0.2-1.1
2023-07-30 10:02:38 status installed read-edid:arm64 3.0.2-1.1
2023-07-30 10:02:38 configure libusb-1.0-doc:all 2:1.0.24-3 <none>
2023-07-30 10:02:38 status unpacked libusb-1.0-doc:all 2:1.0.24-3
2023-07-30 10:02:38 status half-configured libusb-1.0-doc:all 2:1.0.24-3
2023-07-30 10:02:38 status installed libusb-1.0-doc:all 2:1.0.24-3
2023-07-30 10:02:38 configure libfftw3-long3:arm64 3.3.8-2 <none>
2023-07-30 10:02:38 status unpacked libfftw3-long3:arm64 3.3.8-2
2023-07-30 10:02:38 status half-configured libfftw3-long3:arm64 3.3.8-2
2023-07-30 10:02:38 status installed libfftw3-long3:arm64 3.3.8-2
2023-07-30 10:02:38 configure libusb-1.0-0-dev:arm64 2:1.0.24-3 <none>
2023-07-30 10:02:38 status unpacked libusb-1.0-0-dev:arm64 2:1.0.24-3
2023-07-30 10:02:38 status half-configured libusb-1.0-0-dev:arm64 2:1.0.24-3
2023-07-30 10:02:38 status installed libusb-1.0-0-dev:arm64 2:1.0.24-3
2023-07-30 10:02:39 configure file:arm64 1:5.39-3 <none>
2023-07-30 10:02:39 status unpacked file:arm64 1:5.39-3
2023-07-30 10:02:39 status half-configured file:arm64 1:5.39-3
2023-07-30 10:02:39 status installed file:arm64 1:5.39-3
2023-07-30 10:02:39 configure dns-root-data:all 2021011101 <none>
2023-07-30 10:02:39 status unpacked dns-root-data:all 2021011101
2023-07-30 10:02:39 status half-configured dns-root-data:all 2021011101
2023-07-30 10:02:39 status installed dns-root-data:all 2021011101
2023-07-30 10:02:39 configure python3-serial:all 3.5~b0-1 <none>
2023-07-30 10:02:39 status unpacked python3-serial:all 3.5~b0-1
2023-07-30 10:02:39 status half-configured python3-serial:all 3.5~b0-1
2023-07-30 10:02:39 status installed python3-serial:all 3.5~b0-1
2023-07-30 10:02:39 configure liberror-perl:all 0.17029-1 <none>
2023-07-30 10:02:39 status unpacked liberror-perl:all 0.17029-1
2023-07-30 10:02:39 status half-configured liberror-perl:all 0.17029-1
2023-07-30 10:02:39 status installed liberror-perl:all 0.17029-1
2023-07-30 10:02:39 configure autotools-dev:all 20180224.1+nmu1 <none>
2023-07-30 10:02:39 status unpacked autotools-dev:all 20180224.1+nmu1
2023-07-30 10:02:39 status half-configured autotools-dev:all 20180224.1+nmu1
2023-07-30 10:02:40 status installed autotools-dev:all 20180224.1+nmu1
2023-07-30 10:02:40 configure libjpeg62-turbo-dev:arm64 1:2.0.6-4 <none>
2023-07-30 10:02:40 status unpacked libjpeg62-turbo-dev:arm64 1:2.0.6-4
2023-07-30 10:02:40 status half-configured libjpeg62-turbo-dev:arm64 1:2.0.6-4
2023-07-30 10:02:40 status installed libjpeg62-turbo-dev:arm64 1:2.0.6-4
2023-07-30 10:02:40 configure libncurses6:arm64 6.2+20201114-2+deb11u1 <none>
2023-07-30 10:02:40 status unpacked libncurses6:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:40 status half-configured libncurses6:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:40 status installed libncurses6:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:40 configure libsigsegv2:arm64 2.13-1 <none>
2023-07-30 10:02:40 status unpacked libsigsegv2:arm64 2.13-1
2023-07-30 10:02:40 status half-configured libsigsegv2:arm64 2.13-1
2023-07-30 10:02:40 status installed libsigsegv2:arm64 2.13-1
2023-07-30 10:02:40 configure i2c-tools:arm64 4.2-1+b1 <none>
2023-07-30 10:02:40 status unpacked i2c-tools:arm64 4.2-1+b1
2023-07-30 10:02:40 status half-configured i2c-tools:arm64 4.2-1+b1
2023-07-30 10:02:40 status installed i2c-tools:arm64 4.2-1+b1
2023-07-30 10:02:40 configure libncursesw6:arm64 6.2+20201114-2+deb11u1 <none>
2023-07-30 10:02:40 status unpacked libncursesw6:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:40 status half-configured libncursesw6:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:40 status installed libncursesw6:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:40 configure libltdl7:arm64 2.4.6-15 <none>
2023-07-30 10:02:40 status unpacked libltdl7:arm64 2.4.6-15
2023-07-30 10:02:40 status half-configured libltdl7:arm64 2.4.6-15
2023-07-30 10:02:40 status installed libltdl7:arm64 2.4.6-15
2023-07-30 10:02:40 configure libfftw3-double3:arm64 3.3.8-2 <none>
2023-07-30 10:02:40 status unpacked libfftw3-double3:arm64 3.3.8-2
2023-07-30 10:02:40 status half-configured libfftw3-double3:arm64 3.3.8-2
2023-07-30 10:02:40 status installed libfftw3-double3:arm64 3.3.8-2
2023-07-30 10:02:40 configure libjsoncpp24:arm64 1.9.4-4 <none>
2023-07-30 10:02:40 status unpacked libjsoncpp24:arm64 1.9.4-4
2023-07-30 10:02:40 status half-configured libjsoncpp24:arm64 1.9.4-4
2023-07-30 10:02:40 status installed libjsoncpp24:arm64 1.9.4-4
2023-07-30 10:02:40 configure ifplugd:arm64 0.28-19.5 <none>
2023-07-30 10:02:40 status unpacked ifplugd:arm64 0.28-19.5
2023-07-30 10:02:40 status half-configured ifplugd:arm64 0.28-19.5
2023-07-30 10:02:41 status installed ifplugd:arm64 0.28-19.5
2023-07-30 10:02:41 configure librhash0:arm64 1.4.1-2 <none>
2023-07-30 10:02:41 status unpacked librhash0:arm64 1.4.1-2
2023-07-30 10:02:41 status half-configured librhash0:arm64 1.4.1-2
2023-07-30 10:02:41 status installed librhash0:arm64 1.4.1-2
2023-07-30 10:02:41 configure libnfnetlink0:arm64 1.0.1-3+b1 <none>
2023-07-30 10:02:41 status unpacked libnfnetlink0:arm64 1.0.1-3+b1
2023-07-30 10:02:41 status half-configured libnfnetlink0:arm64 1.0.1-3+b1
2023-07-30 10:02:41 status installed libnfnetlink0:arm64 1.0.1-3+b1
2023-07-30 10:02:41 configure git-man:all 1:2.30.2-1+deb11u2 <none>
2023-07-30 10:02:41 status unpacked git-man:all 1:2.30.2-1+deb11u2
2023-07-30 10:02:41 status half-configured git-man:all 1:2.30.2-1+deb11u2
2023-07-30 10:02:41 status installed git-man:all 1:2.30.2-1+deb11u2
2023-07-30 10:02:41 configure cmake-data:all 3.18.4-2+rpt1+rpi1+deb11u1 <none>
2023-07-30 10:02:41 status unpacked cmake-data:all 3.18.4-2+rpt1+rpi1+deb11u1
2023-07-30 10:02:41 status half-configured cmake-data:all 3.18.4-2+rpt1+rpi1+deb11u1
2023-07-30 10:02:41 status installed cmake-data:all 3.18.4-2+rpt1+rpi1+deb11u1
2023-07-30 10:02:41 configure libonig5:arm64 6.9.6-1.1 <none>
2023-07-30 10:02:41 status unpacked libonig5:arm64 6.9.6-1.1
2023-07-30 10:02:41 status half-configured libonig5:arm64 6.9.6-1.1
2023-07-30 10:02:41 status installed libonig5:arm64 6.9.6-1.1
2023-07-30 10:02:42 configure libncurses-dev:arm64 6.2+20201114-2+deb11u1 <none>
2023-07-30 10:02:42 status unpacked libncurses-dev:arm64 6.2+20201114-2+deb11u1
2023-07-30 10:02:42 status half-configured libncurses-dev:arm64 6.2+20201114-2+deb11u1
